C00115	C00698
C00277	C00718
C00281	C05382
C00285	C00071
C00293	C00031
C00368	C03323
C00425	C05422
C00432	C01612
C00442	C00620
C00465	C15587
C00485	C00292
C00564	C00145
C00567	C06255
C00578	C02128
C00592	C02188
C00598	C01211
C00626	C01194
C00629	C06473
C00687	C11907
C00699	C00201
C00709	C01450
C00728	C00895
C00790	C00327
C00867	C01958
C00890	C00404
C00947	C03485
C00987	C06215
C01049	C01096
C01130	C03946
C01193	C03765
C01195	C05385
C01238	C12632
C01248	C04317
C01258	C04092
C01276	C03692
C01296	C05446
C01303	C05849
C01317	C00399
C01318	C00462
C01331	C00704
C01351	C00030
C01361	C00060
C01379	C00551
C01381	C00738
C01395	C11481
C01427	C00870
C01475	C04076
C01665	C03688
C01666	C04221
C01668	C00512
C01676	C03576
C01730	C01198
C01763	C03446
C01781	C05058
C01791	C02686
C01803	C02872
C01811	C00329
C01828	C01620
C01886	C01343
C01891	C15584
C01911	C00897
C01922	C04849
C01980	C01861
C02082	C03470
C02098	C10886
C02121	C04233
C02127	C00232
C02136	C00292
C02152	C00198
C02169	C00917
C02177	C00028
C02208	C06215
C02229	C05665
C02238	C01879
C02239	C03273
C02250	C01407
C02258	C05122
C02260	C00198
C02296	C00060
C02309	C04466
C02310	C05144
C02349	C00864
C02406	C02700
C02407	C02031
C02416	C00524
C02418	C08230
C02432	C05688
C02449	C00562
C02450	C00596
C02500	C02287
C02516	C05669
C02550	C00613
C02552	C01005
C02558	C07565
C02580	C00893
C02609	C00658
C02610	C00123
C02619	C00198
C02694	C00637
C02769	C00603
C02786	C00681
C02788	C06123
C02826	C01962
C02849	C00645
C02859	C03154
C02865	C01864
C02883	C01068
C02911	C01087
C02913	C00653
C02959	C02270
C02963	C02686
C02966	C02266
C02969	C00470
C02973	C03069
C02978	C04737
C03006	C05945
C03013	C01329
C03020	C02188
C03041	C00101
C03048	C02773
C03060	C03345
C03100	C06125
C03143	C03169
C03216	C02269
C03265	C01205
C03279	C00536
C03288	C02991
C03301	C03300
C03320	C00669
C03321	C03323
C03324	C06215
C03364	C01557
C03424	C02399
C03432	C04145
C03443	C02362
C03471	C00157
C03472	C05469
C03487	C05465
C03496	C00672
C03540	C05726
C03542	C16614
C03543	C04574
C03549	C01772
C03555	C03323
C03556	C06215
C03562	C00410
C03581	C02508
C03593	C12625
C03612	C06125
C03675	C05662
C03689	C05787
C03694	C01134
C03697	C00198
C03718	C03303
C03729	C03872
C03746	C01194
C03756	C02508
C03763	C02048
C03775	C05455
C03778	C03715
C03787	C00229
C03812	C00636
C03815	C00658
C03816	C00470
C03818	C03372
C03854	C04537
C03876	C03875
C03883	C02741
C03908	C12209
C03909	C00470
C03911	C00671
C03915	C01175
C03919	C00429
C03938	C03033
C03966	C03284
C03967	C04517
C03970	C03820
C03976	C03824
C03977	C03826
C03978	C00684
C03988	C01187
C04027	C03564
C04032	C03761
C04041	C03826
C04048	C05401
C04057	C06250
C04066	C02967
C04085	C04261
C04095	C05145
C04124	C04197
C04139	C04549
C04168	C04635
C04169	C03968
C04174	C05754
C04176	C02504
C04184	C06033
C04192	C04213
C04222	C12208
C04238	C04431
C04243	C05437
C04252	C03862
C04254	C04315
C04263	C07282
C04269	C00687
C04270	C00143
C04278	C03819
C04310	C04142
C04319	C02225
C04325	C04053
C04345	C05727
C04369	C04349
C04370	C00487
C04380	C13742
C04389	C01682
C04396	C04487
C04401	C00461
C04407	C04848
C04413	C02504
C04414	C03692
C04436	C01194
C04467	C04648
C04470	C05662
C04472	C03198
C04490	C06038
C04492	C01290
C04550	C05212
C04551	C04115
C04567	C03789
C04571	C00473
C04600	C04540
C04605	C04752
C04607	C05454
C04610	C07278
C04612	C05973
C04616	C00611
C04624	C04657
C04629	C00565
C04647	C04645
C04653	C04903
C04693	C04675
C04699	C04475
C04704	C04750
C04716	C08886
C04743	C04707
C04745	C02793
C04754	C04750
C04761	C06118
C04766	C00350
C04786	C04825
C04795	C01921
C04813	C11351
C04820	C05965
C04821	C05966
C04826	C05641
C04852	C04730
C04854	C04877
C04857	C06037
C04860	C02740
C04868	C04845
C04879	C05952
C04888	C15037
C04889	C04902
C04915	C04922
C04918	C04922
C04941	C11530
C04945	C11533
C05019	C05945
C05029	C01329
C05044	C02246
C05064	C02389
C05065	C04154
C05115	C05662
C05129	C05828
C05132	C05568
C05134	C05133
C05182	C00198
C05211	C04317
C05214	C04475
C05224	C02998
C05225	C01890
C05228	C02659
C05233	C01392
C05256	C02837
C05277	C05266
C05311	C05819
C05352	C04115
C05374	C03953
C05384	C00474
C05389	C14830
C05397	C05402
C05409	C04575
C05420	C00129
C05438	C05108
C05457	C17339
C05461	C05337
C05462	C05466
C05506	C00059
C05521	C01005
C05522	C00856
C05523	C02967
C05525	C00343
C05531	C00342
C05532	C09306
C05534	C05560
C05547	C04487
C05550	C01211
C05561	C05535
C05567	C03277
C05602	C04350
C05603	C03672
C05612	C03590
C05614	C01198
C05617	C04044
C05664	C02775
C05685	C00125
C05687	C00126
C05700	C01077
C05701	C01077
C05733	C03033
C05806	C05847
C05826	C04882
C05854	C06035
C05887	C02713
C05935	C03771
C05937	C02946
C05978	C03715
C06003	C03467
C06009	C00141
C06013	C02684
C06039	C04315
C06045	C05582
C06053	C04106
C06097	C03579
C06100	C00854
C06101	C03241
C06106	C06102
C06107	C06104
C06122	C05272
C06164	C05193
C06166	C03329
C06190	C00530
C06191	C02323
C06200	C05601
C06208	C01542
C06209	C01467
C06211	C00596
C06214	C06215
C06220	C06215
C06221	C06215
C06223	C05775
C06237	C04181
C06245	C03313
C06252	C05223
C06253	C05761
C06256	C00126
C06281	C06132
C06296	C06133
C06301	C06134
C06303	C03410
C06340	C15610
C06373	C00243
C06375	C00706
C06401	C07281
C06402	C07282
C06431	C04756
C06434	C05993
C06445	C04204
C06458	C00189
C06486	C15522
C06487	C00268
C06498	C06497
C06519	C06517
C06583	C00596
C06595	C07075
C06617	C11908
C06618	C11909
C06619	C11910
C06621	C11922
C06623	C11915
C06631	C11916
C06632	C11911
C06652	C06201
C06716	C04642
C06745	C01187
C06759	C01454
C06864	C01561
C06898	C02528
C06945	C15643
C06987	C06813
C07015	C06456
C07121	C06727
C07298	C05259
C07333	C00244
C07352	C04691
C07353	C04895
C07358	C03684
C07364	C12389
C07470	C05580
C07579	C06972
C08003	C08048
C08191	C03958
C08256	C03844
C08274	C04022
C08293	C05689
C08297	C05699
C08360	C05402
C08361	C01625
C08436	C00029
C08479	C04831
C08500	C04020
C08508	C01682
C08645	C02614
C08812	C08821
C08903	C04715
C09199	C05151
C09620	C06082
C09703	C09626
C09713	C06079
C09838	C06304
C09857	C06078
C10096	C05990
C10423	C01263
C10440	C01772
C10442	C02646
C10489	C01850
C10872	C05366
C11046	C08748
C11138	C03832
C11140	C06019
C11176	C06688
C11209	C00547
C11241	C11237
C11286	C05503
C11287	C05504
C11364	C11173
C11423	C04468
C11451	C00842
C11452	C00688
C11454	C11453
C11479	C00454
C11517	C05201
C11518	C05314
C11528	C01755
C11558	C01417
C11559	C01563
C11753	C07756
C12209	C00852
C12281	C19292
C12815	C17058
C13458	C07184
C13564	C01327
C13576	C07361
C13585	C18606
C13951	C00318
C13992	C13245
C15223	C04631
C15526	C05127
C15600	C05650
C15611	C06341
C16073	C02658
C16083	C07607
C16539	C04579
C16917	C12249
